"original_miRNA_id","normalized_miRNA_id","logFC_no_zone","BH_FDR_no_zone","logFC_adjusted","BH_FDR_adjusted","no_zone_significant","attenuated","direction_reversed"
"hsa-let-7a-3p:hsa-let-7a-1","hsa-let-7a-3p",-0.0274921780379986,0.962130730956057,0.165576781546722,0.954302845955942,FALSE,FALSE,TRUE
"hsa-let-7a-5p:hsa-let-7a-1","hsa-let-7a-5p",-0.107152137913647,0.66490101079496,-0.0939977324163609,0.954302845955942,FALSE,TRUE,FALSE
"hsa-let-7b-3p:hsa-let-7b","hsa-let-7b-3p",-0.0861626261444873,0.832346407596613,0.0353746789788707,0.99698024720718,FALSE,TRUE,TRUE
"hsa-let-7b-5p:hsa-let-7b","hsa-let-7b-5p",-0.067306969124145,0.832346407596613,0.0560305555351312,0.981068937087881,FALSE,TRUE,TRUE
"hsa-let-7c-3p:hsa-let-7c","hsa-let-7c-3p",-1.70516562522359,0.0883013018438655,-0.101049434674812,0.99698024720718,FALSE,TRUE,FALSE
"hsa-let-7c-5p:hsa-let-7c","hsa-let-7c-5p",-1.29816146644477,0.00698539950140059,-0.344079868612926,0.942554188179476,TRUE,TRUE,FALSE
"hsa-let-7d-3p:hsa-let-7d","hsa-let-7d-3p",0.061182926798797,0.858701909970255,0.0840918560320042,0.961686339648352,FALSE,FALSE,FALSE
"hsa-let-7d-5p:hsa-let-7d","hsa-let-7d-5p",0.0783695727977858,0.818020683857009,0.00177430570814854,0.998612650735802,FALSE,TRUE,FALSE
"hsa-let-7e-3p:hsa-let-7e","hsa-let-7e-3p",-0.199048919606454,0.831659728856061,0.357168317593711,0.951185018782856,FALSE,FALSE,TRUE
"hsa-let-7e-5p:hsa-let-7e","hsa-let-7e-5p",-0.0947311175360754,0.762921408861841,0.0717971817145554,0.961686339648352,FALSE,TRUE,TRUE
"hsa-let-7f-1-3p:hsa-let-7f-1","hsa-let-7f-1-3p",0.0133120149523334,0.980762059372689,0.0133321934338126,0.99775400192234,FALSE,FALSE,FALSE
"hsa-let-7f-5p:hsa-let-7f-1","hsa-let-7f-5p",-0.0451897099033704,0.889422147057613,-0.159403103251657,0.945119595048974,FALSE,FALSE,FALSE
"hsa-let-7g-3p:hsa-let-7g","hsa-let-7g-3p",0.365350029862443,0.791704678113483,0.758374774016137,0.913328740245061,FALSE,FALSE,FALSE
"hsa-let-7g-5p:hsa-let-7g","hsa-let-7g-5p",0.055962436867528,0.88287208092396,-0.148508121522175,0.951185018782856,FALSE,FALSE,TRUE
"hsa-let-7i-3p:hsa-let-7i","hsa-let-7i-3p",0.00607131414499397,0.995552917524296,0.454115849662547,0.954302845955942,FALSE,FALSE,FALSE
"hsa-let-7i-5p:hsa-let-7i","hsa-let-7i-5p",-0.102440502229498,0.799991331739566,-0.0366902728011786,0.99698024720718,FALSE,TRUE,FALSE
"hsa-miR-1-3p:hsa-mir-1-2","hsa-miR-1-3p",0.8560143848646,0.111779521711323,0.166824639757948,0.961686339648352,FALSE,TRUE,FALSE
"hsa-miR-100-5p:hsa-mir-100","hsa-miR-100-5p",-0.256851816030637,0.4076501638692,-0.181333361674835,0.948810508224733,FALSE,TRUE,FALSE
"hsa-miR-101-3p:hsa-mir-101-2","hsa-miR-101-3p",0.0771548932241335,0.927221328752318,0.0608872159170339,0.99698024720718,FALSE,TRUE,FALSE
"hsa-miR-103a-3p:hsa-mir-103a-1","hsa-miR-103a-3p",0.154363456218694,0.768443701577222,0.268407223996911,0.948810508224733,FALSE,FALSE,FALSE
"hsa-miR-106a-5p:hsa-mir-106a","hsa-miR-106a-5p",-0.819042563569383,0.107042598245326,-0.371002607633422,0.944180457304669,FALSE,TRUE,FALSE
"hsa-miR-106b-3p:hsa-mir-106b","hsa-miR-106b-3p",0.0644505147959269,0.894273671334479,-0.0116882451725839,0.99775400192234,FALSE,TRUE,TRUE
"hsa-miR-106b-5p:hsa-mir-106b","hsa-miR-106b-5p",-0.0879166060081255,0.867208431690574,-0.0775953854706105,0.988794710274305,FALSE,TRUE,FALSE
"hsa-miR-107:hsa-mir-107","hsa-miR-107",0.23508989680223,0.652828506478957,0.326358270075926,0.942554188179476,FALSE,FALSE,FALSE
"hsa-miR-10a-3p:hsa-mir-10a","hsa-miR-10a-3p",0.833312245807779,0.0318337300554991,-0.0221948313963804,0.99698024720718,TRUE,TRUE,TRUE
"hsa-miR-10a-5p:hsa-mir-10a","hsa-miR-10a-5p",0.884100348927825,0.00698539950140059,0.12396333512316,0.954302845955942,TRUE,TRUE,FALSE
"hsa-miR-10b-3p:hsa-mir-10b","hsa-miR-10b-3p",-0.508164126430793,0.148824804562336,0.0099791213251204,0.99775400192234,FALSE,TRUE,TRUE
"hsa-miR-10b-5p:hsa-mir-10b","hsa-miR-10b-5p",-0.521154626914551,0.0808064004352348,-0.0943715863754067,0.961686339648352,FALSE,TRUE,FALSE
"hsa-miR-1179:hsa-mir-1179","hsa-miR-1179",0.0300678016189295,0.976699468650699,-0.448981569674659,0.951185018782856,FALSE,FALSE,TRUE
"hsa-miR-1180-3p:hsa-mir-1180","hsa-miR-1180-3p",-0.151732448458651,0.752500876175196,0.306987608009538,0.913328740245061,FALSE,FALSE,TRUE
"hsa-miR-1185-1-3p:hsa-mir-1185-1","hsa-miR-1185-1-3p",0.0461853824311248,0.967053226837997,-0.203974110308575,0.986222444632175,FALSE,FALSE,TRUE
"hsa-miR-1185-2-3p:hsa-mir-1185-2","hsa-miR-1185-2-3p",-0.3614825247992,0.743682513978121,0.247123206900311,0.961686339648352,FALSE,TRUE,TRUE
"hsa-miR-122-5p:hsa-mir-122","hsa-miR-122-5p",-0.555112824728802,0.748514313419319,-0.396957727056018,0.961686339648352,FALSE,TRUE,FALSE
"hsa-miR-1224-3p:hsa-mir-1224","hsa-miR-1224-3p",0.7912883285754,0.527712751126576,0.0448438718577394,0.99765657714209,FALSE,TRUE,FALSE
"hsa-miR-1224-5p:hsa-mir-1224","hsa-miR-1224-5p",1.29316118020088,0.15094710836718,0.0102353819832932,0.998612650735802,FALSE,TRUE,FALSE
"hsa-miR-1226-3p:hsa-mir-1226","hsa-miR-1226-3p",0.0911547716957904,0.858701909970255,0.228296157601564,0.951185018782856,FALSE,FALSE,FALSE
"hsa-miR-1226-5p:hsa-mir-1226","hsa-miR-1226-5p",1.00772820430551,0.368518547067431,1.73137530589459,0.633528608313097,FALSE,FALSE,FALSE
"hsa-miR-1227-3p:hsa-mir-1227","hsa-miR-1227-3p",-0.467716472001471,0.683259735986372,-0.253264780894009,0.961686339648352,FALSE,TRUE,FALSE
"hsa-miR-1228-3p:hsa-mir-1228","hsa-miR-1228-3p",-0.646357118136598,0.50454825367577,-0.225670827369506,0.962283635606115,FALSE,TRUE,FALSE
"hsa-miR-1229-3p:hsa-mir-1229","hsa-miR-1229-3p",0.463360185144185,0.515456787692169,0.380456584271353,0.948810508224733,FALSE,TRUE,FALSE
