module_id,module_name,source_library,source_term,source_gene_symbol
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),ADAM17
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),AGGF1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),AGTR1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),AKT1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),AKT3
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),ANG
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),APELA
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),APLN
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),APLNR
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),ARNT
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),CCL11
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),CCL24
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),CCL26
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),CDH13
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),ECM1
ENDOTHELIAL_ACTIVATION,endothelial activation,GO_Biological_Process_2026,Positive Regulation of Endothelial Cell Proliferation (GO:0001938),EGF
