"ensembl_gene_id","primary_log2FC","direction_retention_fraction","loo_min_log2FC","loo_max_log2FC","loo_max_absolute_change","loo_median_absolute_change","loo_FDR_lt_0_05_fraction","gene_symbol","gene_biotype","mapping_status"
"ENSG00000198712",0.0829063646112068,0.868421052631579,-0.0107536763712719,0.200757371347555,0.117851006736348,0.017736514850035,0,"MT-CO2","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000198886",0.0219032260287742,0.947368421052632,-0.04794888297076,0.0609391384281087,0.0698521089995342,0.0167774933523753,0,"MT-ND4","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000198727",0.0302756459395312,0.868421052631579,-0.06904544448528,0.0799474317209683,0.0993210904248112,0.0163280911802505,0,"MT-CYB","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000198888",0.097507936427411,0.921052631578947,0.00220447859927189,0.150843733490711,0.0953034578281391,0.0176129780645774,0,"MT-ND1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000210082",0.061906152595008,0.473684210526316,-0.0622380440154861,0.159569129836971,0.124144196610494,0.0231277209677785,0,"MT-RNR2","Mt_rRNA","MAPPED_EXACT_VERSION"
"ENSG00000198938",0.0492025090498806,0.605263157894737,-0.058914266362237,0.151870039361543,0.108116775412118,0.0225017740748772,0,"MT-CO3","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000229344",0.129138500860816,0.973684210526316,0.00557299570343384,0.221513430680678,0.123565505157382,0.0175914029191515,0,"MTCO2P12","unprocessed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000198763",0.00584734179352345,0.842105263157895,-0.103973193305691,0.0783096493367591,0.109820535099214,0.018362582623081,0,"MT-ND2","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000198899",-0.0632597725231606,0.921052631578947,-0.204818266030479,-0.0250733083238557,0.141558493507319,0.0148122247229372,0,"MT-ATP6","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000211592",0.244330817860037,0.973684210526316,0.00851623307422897,0.47472296336278,0.235814584785808,0.0523764974310831,0,"IGKC","IG_C_gene","MAPPED_EXACT_VERSION"
"ENSG00000198840",-0.131283154049384,0.947368421052632,-0.330986838235815,0.00714404116831576,0.19970368418643,0.0175871922105375,0,"MT-ND3","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000247627",0.0142696602520084,0.947368421052632,-0.0438682543268441,0.0897737003576144,0.075504040105606,0.0182335560104128,0,"MTND4P12","processed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000162896",1.28750756395281,1,0.667618050469588,1.58881295520479,0.619889513483227,0.0601512372442679,0,"PIGR","protein_coding","MAPPED_STABLE_ID_VERSION_DIFFERS"
"ENSG00000198804",0.0540776230151028,0.5,-0.0775214147455933,0.122179134545071,0.131599037760696,0.0177775650441264,0,"MT-CO1","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000248527",-0.031486464161596,0.605263157894737,-0.143893152072717,0.000446957141116277,0.112406687911121,0.016543781336036,0,"MTATP6P1","unprocessed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000225630",0.0844323135329663,0.842105263157895,-0.0303744691762168,0.161384781601229,0.114806782709183,0.0171218733879513,0,"MTND2P28","unprocessed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000211895",0.686258102573195,1,0.342614010311119,1.11949848494103,0.433240382367833,0.0704783301734678,0,"IGHA1","IG_C_gene","MAPPED_EXACT_VERSION"
"ENSG00000211459",0.0407735725138326,0.736842105263158,-0.0607811553650356,0.148308635519334,0.107535063005502,0.0237506275105483,0,"MT-RNR1","Mt_rRNA","MAPPED_EXACT_VERSION"
"ENSG00000198786",0.0388117678922776,0.789473684210526,-0.0339238651086206,0.0828523783548413,0.0727356330008982,0.0177899131082095,0,"MT-ND5","protein_coding","MAPPED_EXACT_VERSION"
"ENSG00000198744",-0.0188954665773677,0.789473684210526,-0.12993355844667,0.0671314430799149,0.111038091869302,0.0231179398659804,0,"MTCO3P12","unprocessed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000237973",0.0623458256374817,0.605263157894737,-0.0905019102061293,0.122788158024862,0.152847735843611,0.019948221673947,0,"MTCO1P12","unprocessed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000225972",0.0256933924704979,0.868421052631579,-0.0892148818212466,0.0894264833629719,0.114908274291744,0.0182275415637275,0,"MTND1P23","unprocessed_pseudogene","MAPPED_EXACT_VERSION"
"ENSG00000211677",0.299814338449345,0.973684210526316,0.00422125957009077,0.656224855819545,0.3564105173702,0.0646149609911799,0,"IGLC2","IG_C_gene","MAPPED_EXACT_VERSION"
