"module_id","tested_gene_n","camera_direction","camera_p_value","camera_BH_FDR","score_log2_difference","score_moderated_t","score_p_value","score_BH_FDR","score_CI_95_low","score_CI_95_high","module_name","module_role","source_library","source_term","source_version","model_name","statistical_unit"
"ANGIOGENESIS",83,"Up",0.120263498372434,0.176387342422764,0.0738064647882583,0.716381366103769,0.478515369900196,0.736133229969819,-0.135359051547673,0.282971981124189,"angiogenesis","biological process","GO_Biological_Process_2026","Positive Regulation of Angiogenesis (GO:0045766)",2026,"PRIMARY_ADJUSTED","patient/library"
"COLLAGEN_ORGANIZATION",29,"Up",0.00201224888013473,0.00560442067150686,0.184147827415347,0.683245055631371,0.498956276102943,0.736133229969819,-0.363031984537786,0.73132763936848,"collagen organization","biological process","GO_Biological_Process_2026","Collagen Fibril Organization (GO:0030199)",2026,"PRIMARY_ADJUSTED","patient/library"
"ENDOTHELIAL_ACTIVATION",45,"Up",0.184878809825338,0.221854571790406,0.100956258027126,1.04476664772103,0.30330280846153,0.727926740307671,-0.0952233709574679,0.29713588701172,"endothelial activation","process activity proxy","GO_Biological_Process_2026","Positive Regulation of Endothelial Cell Proliferation (GO:0001938)",2026,"PRIMARY_ADJUSTED","patient/library"
"EXTRACELLULAR_MATRIX_ORGANIZATION",89,"Up",0.00580770034775786,0.00995605773901348,0.104861323678186,0.641250827552352,0.525542503108292,0.736133229969819,-0.227130479348104,0.436853126704477,"extracellular matrix organization","biological process","GO_Biological_Process_2026","Extracellular Matrix Organization (GO:0030198)",2026,"PRIMARY_ADJUSTED","patient/library"
"FIBROBLAST_ACTIVATION",19,"Up",0.293405131548532,0.320078325325672,0.0757500492687711,0.600419881136012,0.552099922477364,0.736133229969819,-0.180384297280024,0.331884395817566,"fibroblast activation","process activity proxy","GO_Biological_Process_2026","Positive Regulation of Fibroblast Proliferation (GO:0048146)",2026,"PRIMARY_ADJUSTED","patient/library"
"FOCAL_ADHESION",135,"Up",0.000155913182512445,0.00102470776985898,0.14544044177812,1.19136309358156,0.241538289055061,0.724614867165182,-0.102405040382837,0.393285923939077,"focal adhesion","pathway","KEGG_2026","FOCAL ADHESION",2026,"PRIMARY_ADJUSTED","patient/library"
"INFLAMMATORY_RESPONSE",155,"Down",0.00261408459720531,0.00560442067150686,-0.1367889905646,-1.25549177946835,0.217628901816094,0.724614867165182,-0.357984973300212,0.0844069921710119,"inflammatory response","biological process","GO_Biological_Process_2026","Inflammatory Response (GO:0006954)",2026,"PRIMARY_ADJUSTED","patient/library"
"MECHANOTRANSDUCTION",42,"Down",0.705273329478017,0.705273329478017,-0.00577971498255854,-0.0628603483987093,0.950235815103253,0.950235815103253,-0.192447598199759,0.180888168234642,"mechanotransduction","mechanical-response proxy","GO_Biological_Process_2026","Cellular Response to Mechanical Stimulus (GO:0071260)",2026,"PRIMARY_ADJUSTED","patient/library"
"PERICYTE",102,"Up",0.00017078462830983,0.00102470776985898,0.132917567488457,0.50086287394495,0.619607247990811,0.743528697588974,-0.405852559512006,0.671687694488919,"pericyte","cell-identity marker module","PanglaoDB_Augmented_2021","Pericytes",2021,"PRIMARY_ADJUSTED","patient/library"
"VASCULAR_REMODELING",5,"Up",0.132290506817073,0.176387342422764,0.346938408757116,1.95047308125379,0.0591747064053622,0.355048238432173,-0.0141822926947706,0.708059110209002,"venous/vascular remodeling","biological process","GO_Biological_Process_2026","Regulation of Blood Vessel Remodeling (GO:0060312)",2026,"PRIMARY_ADJUSTED","patient/library"
"VASCULAR_SMOOTH_MUSCLE",72,"Up",0.00280221033575343,0.00560442067150686,0.101718223636728,0.339309182641121,0.736407129020584,0.803353231658819,-0.506897429972248,0.710333877245705,"vascular smooth muscle","cell-identity marker module","PanglaoDB_Augmented_2021","Vascular Smooth Muscle Cells",2021,"PRIMARY_ADJUSTED","patient/library"
"WOUND_RESPONSE",57,"Up",0.00173628216771896,0.00560442067150686,0.177304836885201,2.46601640023608,0.01871448432212,0.22457381186544,0.0313345079108873,0.323275165859515,"wound response","biological process","GO_Biological_Process_2026","Wound Healing (GO:0042060)",2026,"PRIMARY_ADJUSTED","patient/library"
