"module_id","tested_gene_n","camera_direction","camera_p_value","camera_BH_FDR","score_log2_difference","score_moderated_t","score_p_value","score_BH_FDR","score_CI_95_low","score_CI_95_high","module_name","module_role","source_library","source_term","source_version","model_name","statistical_unit","UNADJUSTED_direction","UNADJUSTED_p_value","UNADJUSTED_BH_FDR","NO_ZONE_ADJUSTMENT_direction","NO_ZONE_ADJUSTMENT_p_value","NO_ZONE_ADJUSTMENT_BH_FDR","REDUCED_ZONE_direction","REDUCED_ZONE_p_value","REDUCED_ZONE_BH_FDR","EXCLUDE_BOTH_WARNING_FILES_direction","EXCLUDE_BOTH_WARNING_FILES_p_value","EXCLUDE_BOTH_WARNING_FILES_BH_FDR","loo_direction_retention","loo_median_p_value","loo_FDR_lt_0_05_fraction","stable_predefined_module","stability_label"
"ANGIOGENESIS",83,"Up",0.120263498372434,0.176387342422764,0.0738064647882583,0.716381366103769,0.478515369900196,0.736133229969819,-0.135359051547673,0.282971981124189,"angiogenesis","biological process","GO_Biological_Process_2026","Positive Regulation of Angiogenesis (GO:0045766)",2026,"PRIMARY_ADJUSTED","patient/library","Down",0.188851856358025,0.427287197148815,"Down",0.186608631551049,0.414103081808987,"Up",0.0603169941605173,0.0904754912407759,"Up",0.112486634144963,0.168729951217445,1,0.113623236651164,0,FALSE,"ZONE_OR_MODEL_DEPENDENT"
"COLLAGEN_ORGANIZATION",29,"Up",0.00201224888013473,0.00560442067150686,0.184147827415347,0.683245055631371,0.498956276102943,0.736133229969819,-0.363031984537786,0.73132763936848,"collagen organization","biological process","GO_Biological_Process_2026","Collagen Fibril Organization (GO:0030199)",2026,"PRIMARY_ADJUSTED","patient/library","Down",0.780598854175308,0.936718625010369,"Down",0.552004185926617,0.828783470679577,"Up",0.0000752666955631808,0.000503587283919466,"Up",0.00960366295898813,0.0230487911015715,1,0.00201152750838306,0.921052631578947,FALSE,"ZONE_OR_MODEL_DEPENDENT"
"ENDOTHELIAL_ACTIVATION",45,"Up",0.184878809825338,0.221854571790406,0.100956258027126,1.04476664772103,0.30330280846153,0.727926740307671,-0.0952233709574679,0.29713588701172,"endothelial activation","process activity proxy","GO_Biological_Process_2026","Positive Regulation of Endothelial Cell Proliferation (GO:0001938)",2026,"PRIMARY_ADJUSTED","patient/library","Down",0.637338190481491,0.857144806765455,"Down",0.663946891512856,0.828783470679577,"Up",0.090119090292465,0.12015878705662,"Up",0.146582927033572,0.19544390271143,1,0.170136660160213,0,FALSE,"ZONE_OR_MODEL_DEPENDENT"
"EXTRACELLULAR_MATRIX_ORGANIZATION",89,"Up",0.00580770034775786,0.00995605773901348,0.104861323678186,0.641250827552352,0.525542503108292,0.736133229969819,-0.227130479348104,0.436853126704477,"extracellular matrix organization","biological process","GO_Biological_Process_2026","Extracellular Matrix Organization (GO:0030198)",2026,"PRIMARY_ADJUSTED","patient/library","Up",0.901263898642258,0.940247668015099,"Down",0.94674193586654,0.973574718539534,"Up",0.000715897454773233,0.00231758533859163,"Up",0.0218467610811922,0.0436935221623844,1,0.0049223047315717,0.921052631578947,FALSE,"ZONE_OR_MODEL_DEPENDENT"
"FIBROBLAST_ACTIVATION",19,"Up",0.293405131548532,0.320078325325672,0.0757500492687711,0.600419881136012,0.552099922477364,0.736133229969819,-0.180384297280024,0.331884395817566,"fibroblast activation","process activity proxy","GO_Biological_Process_2026","Positive Regulation of Fibroblast Proliferation (GO:0048146)",2026,"PRIMARY_ADJUSTED","patient/library","Up",0.940247668015099,0.940247668015099,"Up",0.973574718539534,0.973574718539534,"Up",0.239927980403745,0.287913576484494,"Up",0.270143022407817,0.32417162688938,1,0.275318756723257,0,FALSE,"NOT_FDR_SUPPORTED_OR_LOW_PRECISION"
"FOCAL_ADHESION",135,"Up",0.000155913182512445,0.00102470776985898,0.14544044177812,1.19136309358156,0.241538289055061,0.724614867165182,-0.102405040382837,0.393285923939077,"focal adhesion","pathway","KEGG_2026","FOCAL ADHESION",2026,"PRIMARY_ADJUSTED","patient/library","Up",0.130964143681723,0.427287197148815,"Up",0.20124347945514,0.414103081808987,"Up",0.000965660557746511,0.00231758533859163,"Up",0.0017469336021399,0.00524080080641969,1,0.000174184573415823,1,TRUE,"STABLE_FDR_SUPPORTED"
"INFLAMMATORY_RESPONSE",155,"Down",0.00261408459720531,0.00560442067150686,-0.1367889905646,-1.25549177946835,0.217628901816094,0.724614867165182,-0.357984973300212,0.0844069921710119,"inflammatory response","biological process","GO_Biological_Process_2026","Inflammatory Response (GO:0006954)",2026,"PRIMARY_ADJUSTED","patient/library","Down",0.524133752175728,0.857144806765455,"Down",0.690652892232981,0.828783470679577,"Down",0.0239137918319523,0.0409950717119182,"Down",0.000180636560872222,0.000722546243488887,1,0.00395788035701404,0.921052631578947,TRUE,"STABLE_FDR_SUPPORTED"
"MECHANOTRANSDUCTION",42,"Down",0.705273329478017,0.705273329478017,-0.00577971498255854,-0.0628603483987093,0.950235815103253,0.950235815103253,-0.192447598199759,0.180888168234642,"mechanotransduction","mechanical-response proxy","GO_Biological_Process_2026","Cellular Response to Mechanical Stimulus (GO:0071260)",2026,"PRIMARY_ADJUSTED","patient/library","Up",0.642858605074092,0.857144806765455,"Up",0.614714965977758,0.828783470679577,"Up",0.85713386599782,0.85713386599782,"Down",0.369090785458535,0.369090785458535,0.947368421052632,0.717516666422866,0,FALSE,"ZONE_OR_MODEL_DEPENDENT"
"PERICYTE",102,"Up",0.00017078462830983,0.00102470776985898,0.132917567488457,0.50086287394495,0.619607247990811,0.743528697588974,-0.405852559512006,0.671687694488919,"pericyte","cell-identity marker module","PanglaoDB_Augmented_2021","Pericytes",2021,"PRIMARY_ADJUSTED","patient/library","Down",0.213643598574407,0.427287197148815,"Down",0.0960033104009974,0.414103081808987,"Up",0.0000839312139865776,0.000503587283919466,"Up",0.000000507909854886434,0.00000609491825863721,1,0.000106793161256664,0.947368421052632,FALSE,"ZONE_OR_MODEL_DEPENDENT"
"VASCULAR_REMODELING",5,"Up",0.132290506817073,0.176387342422764,0.346938408757116,1.95047308125379,0.0591747064053622,0.355048238432173,-0.0141822926947706,0.708059110209002,"venous/vascular remodeling","biological process","GO_Biological_Process_2026","Regulation of Blood Vessel Remodeling (GO:0060312)",2026,"PRIMARY_ADJUSTED","patient/library","Up",0.193966173967702,0.427287197148815,"Up",0.207051540904494,0.414103081808987,"Up",0.449171439501854,0.490005206729295,"Up",0.340576911844446,0.369090785458535,1,0.134221513486302,0.0263157894736842,FALSE,"NOT_FDR_SUPPORTED_OR_LOW_PRECISION"
"VASCULAR_SMOOTH_MUSCLE",72,"Up",0.00280221033575343,0.00560442067150686,0.101718223636728,0.339309182641121,0.736407129020584,0.803353231658819,-0.506897429972248,0.710333877245705,"vascular smooth muscle","cell-identity marker module","PanglaoDB_Augmented_2021","Vascular Smooth Muscle Cells",2021,"PRIMARY_ADJUSTED","patient/library","Down",0.0910467401881085,0.427287197148815,"Down",0.0310372793027939,0.372447351633527,"Up",0.000880953031357133,0.00231758533859163,"Up",0.0000225682486834079,0.000135409492100447,1,0.00186428449654107,0.894736842105263,FALSE,"ZONE_OR_MODEL_DEPENDENT"
"WOUND_RESPONSE",57,"Up",0.00173628216771896,0.00560442067150686,0.177304836885201,2.46601640023608,0.01871448432212,0.22457381186544,0.0313345079108873,0.323275165859515,"wound response","biological process","GO_Biological_Process_2026","Wound Healing (GO:0042060)",2026,"PRIMARY_ADJUSTED","patient/library","Up",0.148198715859974,0.427287197148815,"Up",0.187734649430552,0.414103081808987,"Up",0.00491491375882387,0.00982982751764774,"Up",0.0285466423428049,0.0489371011590941,1,0.00191657504862175,1,TRUE,"STABLE_FDR_SUPPORTED"
