"original_miRNA_id","normalized_miRNA_id","miRNA_type","mature_or_precursor","arm","mapping_status","legacy_name_status","feature_family","logFC","average_expression","standard_error","CI_95_low","CI_95_high","moderated_t","P_value","BH_FDR","B_statistic","model_name","n_total","n_case","n_control","effective_sample_size_kish","interpretation_level"
"hsa-mir-320a:hsa-mir-320a","hsa-mir-320a","precursor_miRNA","precursor",,"RECOGNIZED_MIRBASE_22_1_PRECURSOR","CURRENT_MIRBASE_22_1","PRECURSOR",-0.0546545799766499,17.9862913267937,0.129058432148582,-0.315715213110081,0.206406053156781,-0.423487090821989,0.674270626284434,0.786649063998506,-5.14949370815159,"PRIMARY_ADJUSTED",38,20,18,35.6475979166512,"SECONDARY_FORMAL_FAMILY"
"hsa-mir-320b-2:hsa-mir-320b-2","hsa-mir-320b-2","precursor_miRNA","precursor",,"RECOGNIZED_MIRBASE_22_1_PRECURSOR","CURRENT_MIRBASE_22_1","PRECURSOR",0.103953279409841,17.8359017817291,0.150979688366946,-0.201449880842296,0.409356439661979,0.688524930301819,0.495205317837614,0.69328744497266,-5.02536189522534,"PRIMARY_ADJUSTED",38,20,18,35.6475979166512,"SECONDARY_FORMAL_FAMILY"
"hsa-mir-320b-1:hsa-mir-320b-1","hsa-mir-320b-1","precursor_miRNA","precursor",,"RECOGNIZED_MIRBASE_22_1_PRECURSOR","CURRENT_MIRBASE_22_1","PRECURSOR",-0.131976051234349,18.09849794673,0.117058549345145,-0.368763206455189,0.10481110398649,-1.12743624427825,0.266459481632258,0.655774681776616,-4.76832499966829,"PRIMARY_ADJUSTED",38,20,18,35.6475979166512,"SECONDARY_FORMAL_FAMILY"
"hsa-mir-378c:hsa-mir-378c","hsa-mir-378c","precursor_miRNA","precursor",,"RECOGNIZED_MIRBASE_22_1_PRECURSOR","CURRENT_MIRBASE_22_1","PRECURSOR",0.569870162639842,14.8990104931971,0.524544868006873,-0.491184222331401,1.63092454761109,1.08640880389354,0.283979743686711,0.655774681776616,-4.59011684261524,"PRIMARY_ADJUSTED",38,20,18,35.6475979166512,"SECONDARY_FORMAL_FAMILY"
"hsa-mir-30c-1:hsa-mir-30c-1","hsa-mir-30c-1","precursor_miRNA","precursor",,"RECOGNIZED_MIRBASE_22_1_PRECURSOR","CURRENT_MIRBASE_22_1","PRECURSOR",0.547798125264847,12.6748100284346,0.693742280662225,-0.855510407203646,1.95110665773334,0.789627705467131,0.434528697920089,0.686976610210479,-4.63057598749843,"PRIMARY_ADJUSTED",38,20,18,35.6475979166512,"SECONDARY_FORMAL_FAMILY"
"hsa-mir-30c-2:hsa-mir-30c-2","hsa-mir-30c-2","precursor_miRNA","precursor",,"RECOGNIZED_MIRBASE_22_1_PRECURSOR","CURRENT_MIRBASE_22_1","PRECURSOR",1.43795895393087,12.3974881822575,0.828171393986013,-0.237274077011859,3.1131919848736,1.73630599218107,0.0904189856944829,0.421955266574254,-4.47473808071152,"PRIMARY_ADJUSTED",38,20,18,35.6475979166512,"SECONDARY_FORMAL_FAMILY"
"hsa-mir-500a:hsa-mir-500a","hsa-mir-500a","precursor_miRNA","precursor",,"RECOGNIZED_MIRBASE_22_1_PRECURSOR","CURRENT_MIRBASE_22_1","PRECURSOR",0.240991612220197,12.5457259116788,0.53578536307844,-0.842800153883479,1.32478337832387,0.449791332177388,0.655355591386628,0.786649063998506,-4.65485478865787,"PRIMARY_ADJUSTED",38,20,18,35.6475979166512,"SECONDARY_FORMAL_FAMILY"
"hsa-mir-320c-1:hsa-mir-320c-1","hsa-mir-320c-1","precursor_miRNA","precursor",,"RECOGNIZED_MIRBASE_22_1_PRECURSOR","CURRENT_MIRBASE_22_1","PRECURSOR",0.0216979486419672,13.4459664235246,0.406918044729229,-0.801419771152816,0.84481566843675,0.0533226504034872,0.95774753966769,0.95774753966769,-4.6943762846179,"PRIMARY_ADJUSTED",38,20,18,35.6475979166512,"SECONDARY_FORMAL_FAMILY"
"hsa-mir-320c-2:hsa-mir-320c-2","hsa-mir-320c-2","precursor_miRNA","precursor",,"RECOGNIZED_MIRBASE_22_1_PRECURSOR","CURRENT_MIRBASE_22_1","PRECURSOR",0.370324589832355,13.5466725740476,0.355126255506848,-0.348028202476389,1.0886773821411,1.04279698864793,0.303475248056139,0.655774681776616,-4.59557724694336,"PRIMARY_ADJUSTED",38,20,18,35.6475979166512,"SECONDARY_FORMAL_FAMILY"
"hsa-let-7c:hsa-let-7c","hsa-let-7c","precursor_miRNA","precursor",,"RECOGNIZED_MIRBASE_22_1_PRECURSOR","CURRENT_MIRBASE_22_1","PRECURSOR",-0.37513724176034,15.084585217317,0.378608863570623,-1.1409908786609,0.390716395140222,-0.99083058495371,0.327887340888308,0.655774681776616,-4.6153274875738,"PRIMARY_ADJUSTED",38,20,18,35.6475979166512,"SECONDARY_FORMAL_FAMILY"
