"original_miRNA_id","normalized_miRNA_id","miRNA_type","mature_or_precursor","arm","mapping_status","legacy_name_status","feature_family","logFC","average_expression","standard_error","CI_95_low","CI_95_high","moderated_t","P_value","BH_FDR","B_statistic","model_name","n_total","n_case","n_control","effective_sample_size_kish","interpretation_level"
"hsa-miR-375:hsa-mir-375","hsa-miR-375","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",0.460568241840831,18.6133759361608,0.812524005868945,-1.19310591076487,2.11424239444653,0.566836473155376,0.574696216004842,0.879362103059873,-4.59549620310203,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-320a:hsa-mir-320a","hsa-miR-320a","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",-0.133642171920349,18.4341387146366,0.459896854696671,-1.06963856831385,0.802354224473151,-0.290591619741547,0.773198890823582,0.879362103059873,-4.59561376018112,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-217:hsa-mir-217","hsa-miR-217","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",-0.252527146958125,6.80466004957482,0.795301152888071,-1.87114881298758,1.36609451907133,-0.317523929194737,0.752864967698834,0.879362103059873,-4.72958548898455,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-137:hsa-mir-137","hsa-miR-137","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",0.100133466109603,6.84127537235411,0.654595689470086,-1.23212006026607,1.43238699248527,0.152969944227197,0.879362103059873,0.879362103059873,-4.76035368878942,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-147b:hsa-mir-147b","hsa-miR-147b","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",0.516901493892062,7.21507909524429,1.02571844247234,-1.57067261335354,2.60447560113767,0.503940918373417,0.617681729335527,0.879362103059873,-4.67354415278202,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-190b:hsa-mir-190b","hsa-miR-190b","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",-0.296619353653093,6.75426879220159,0.282053394335652,-0.870663202817595,0.27742449551141,-1.05164255991937,0.300673999487459,0.879362103059873,-4.60867839492486,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-3607-3p:hsa-mir-3607","hsa-miR-3607-3p","deprecated_or_unresolved_miRNA","mature_arm_specific","3p","UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",-0.145773474438626,4.79274490375349,0.679381338338054,-1.52847152502831,1.23692457615105,-0.214567969728498,0.831436779318037,0.879362103059873,-4.81102610846426,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-1254:hsa-mir-1254-1","hsa-miR-1254","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",-0.676111850054807,4.47633290077524,0.743528472105347,-2.18936414434498,0.837140444235362,-0.909328795628168,0.369831055101945,0.879362103059873,-4.66863485582924,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-4461:hsa-mir-4461","hsa-miR-4461","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",-0.318332870322255,4.41320086604295,0.750303713525521,-1.84537434688061,1.2087086062361,-0.424272017562695,0.674146027689257,0.879362103059873,-4.78497428462581,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-3653-5p:hsa-mir-3653","hsa-miR-3653-5p","deprecated_or_unresolved_miRNA","mature_arm_specific","5p","UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",-0.857807473836906,2.9370802794066,0.718246742823509,-2.31960560561056,0.603990657936748,-1.19430750282942,0.240950025545726,0.879362103059873,-4.56407825760087,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-1273e:hsa-mir-1273e","hsa-miR-1273e","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",-0.401014938212004,4.02436102442306,0.715698120371862,-1.85762603422721,1.0555961578032,-0.560312968271659,0.579085206218763,0.879362103059873,-4.76011102124547,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-549a:hsa-mir-549a","hsa-miR-549a","deprecated_or_unresolved_miRNA","mature_legacy_or_unversioned",,"UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",-0.320675774208664,1.92984336449714,0.557824865393245,-1.45597830671052,0.814626758293188,-0.574868196279848,0.569315221883122,0.879362103059873,-4.79949059349002,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
"hsa-miR-3653-3p:hsa-mir-3653","hsa-miR-3653-3p","deprecated_or_unresolved_miRNA","mature_arm_specific","3p","UNRECOGNIZED_IN_MIRBASE_22_1","UNRESOLVED_LEGACY_OR_UNVERSIONED","UNRESOLVED",-0.318258387678882,2.71942608553556,0.684574212521238,-1.71152513747306,1.0750083621153,-0.464899760840769,0.645084490762076,0.879362103059873,-4.79184190183666,"PRIMARY_ADJUSTED",38,20,18,34.986274778372,"REPORT_ONLY_NOT_HEADLINE"
