"original_miRNA_id","normalized_miRNA_id","miRNA_type","mature_or_precursor","arm","mapping_status","legacy_name_status","feature_family","primary_logFC","direction_retention_fraction","loo_min_logFC","loo_max_logFC","loo_max_absolute_change","loo_median_absolute_change","loo_FDR_lt_0_05_fraction"
"hsa-miR-21-5p:hsa-mir-21","hsa-miR-21-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.153537429236031,0.921052631578947,-0.266051900841595,0.0250278001477816,0.178565229383813,0.0189364602320418,0
"hsa-miR-26a-5p:hsa-mir-26a-1","hsa-miR-26a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.251091371148908,1,-0.321804974877929,-0.192492637959823,0.0707136037290202,0.0116736011412556,0
"hsa-let-7b-5p:hsa-let-7b","hsa-let-7b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.0560305555351312,0.736842105263158,-0.133186540072941,0.145316214111005,0.189217095608073,0.0180665035620259,0
"hsa-let-7a-5p:hsa-let-7a-1","hsa-let-7a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0939977324163609,0.947368421052632,-0.255377261113583,-0.0136055564379745,0.161379528697222,0.0176029506911423,0
"hsa-miR-200c-3p:hsa-mir-200c","hsa-miR-200c-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.274720981705558,1,0.139617704875437,0.391899829263061,0.13510327683012,0.0218487599054007,0
"hsa-miR-200b-3p:hsa-mir-200b","hsa-miR-200b-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.374084868134066,1,0.201885743004661,0.532558330368339,0.172199125129405,0.0241301417950597,0
"hsa-miR-92a-3p:hsa-mir-92a-1","hsa-miR-92a-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0255714340004925,0.81578947368421,-0.0969482096705677,0.0498026322298542,0.0753740662303467,0.0160086062911363,0
"hsa-let-7f-5p:hsa-let-7f-1","hsa-let-7f-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.159403103251657,1,-0.319697156647794,-0.0686220195763019,0.160294053396137,0.0110290079570038,0
"hsa-miR-10a-5p:hsa-mir-10a","hsa-miR-10a-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.12396333512316,1,0.0689327745839033,0.210199786223258,0.0862364511000981,0.0162728791429232,0
"hsa-miR-143-3p:hsa-mir-143","hsa-miR-143-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.155304575154206,0.947368421052632,-0.0761281883228616,0.37338441553676,0.231432763477068,0.0204598563883999,0
"hsa-let-7g-5p:hsa-let-7g","hsa-let-7g-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.148508121522175,0.947368421052632,-0.233840507107752,-0.0299963516060777,0.118511769916098,0.0120732461466028,0
"hsa-miR-27b-3p:hsa-mir-27b","hsa-miR-27b-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.0149167660690777,0.736842105263158,-0.0918641547970079,0.102280400969998,0.117197167039076,0.0138644917033817,0
"hsa-miR-26b-5p:hsa-mir-26b","hsa-miR-26b-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.228937219551161,1,-0.315331949679176,-0.1676430536729,0.0863947301280151,0.0166950410072296,0
"hsa-miR-29a-3p:hsa-mir-29a","hsa-miR-29a-3p","mature_miRNA","mature_arm_specific","3p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.178040466127986,1,-0.228696747198058,-0.0645205361226526,0.113519930005334,0.0107232229120132,0
"hsa-miR-100-5p:hsa-mir-100","hsa-miR-100-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",-0.181333361674835,1,-0.355853197315644,-0.0835209819810021,0.174519835640809,0.0153951138653932,0
"hsa-miR-194-5p:hsa-mir-194-1","hsa-miR-194-5p","mature_miRNA","mature_arm_specific","5p","RECOGNIZED_MIRBASE_22_1_MATURE","CURRENT_MIRBASE_22_1","MATURE",0.67072361432374,1,0.346285434879163,1.14975167942362,0.479028065099877,0.0438781119977936,0
